Democratic_Candidate,Total_Votes,Male,Female,17-29,30-44,45-64,65+,White,College_Degree,No_Degree,Under_30k,30-50k,100-200k,200k+,Very_Liberal,Somewhat_Liberal,Moderate,Democrat,Independent
Clinton,85383,44,53,14,37,58,69,49,51,48,41,47,50,55,39,50,58,56,26
Sanders,84870,50,42,84,58,35,26,46,44,47,57,50,44,37,58,44,35,39,69
O'Malley,1027,3,3,2,2,4,3,3,3,3,1,2,4,4,1,3,4,3,1
