Democratic_Candidate,Total_Votes,Male,Female,17-29,30-44,45-64,65+,White,Black,College_Degree,No_Degree,Under_30k,30-50k,100-200k,Very_Liberal,Somewhat_Liberal,Moderate,Conservative,Democrat,Independent,White_Men,White_Women,Black_Men,Black_Women
Clinton,"271,514",68,79,46,75,77,88,54,86,70,77,81,71,66,70,70,78,72,80,46,44,60,82,89
Sanders,95977,32,21,54,25,22,11,46,14,30,23,19,29,33,30,21,28,28,20,53,56,40,18,11
