Democratic_Candidate,Total_Votes,Male,Female,17-29,30-44,45-64,65+,White,Black,Latino,College_Degree,No_Degree,Under_30k,30-50k,50-100k,100k+,Very_Liberal,Somewhat_Liberal,Moderate
Clinton,6316,44,57,14,35,61,74,47,76,45,54,48,51,49,50,54,47,46,59
Sanders,5678,53,41,82,62,36,24,49,22,53,43,49,46,50,46,42,52,50,37
