Democratic_Candidate,Total_Votes,Male,Female,17-29,30-44,45-64,65+,White,Other,College_Degree,No_Degree,Under_30k,30-50k,100-200k,200k+,Very_Liberal,Somewhat_Liberal,Moderate
Clinton,"95,252",32,44,16,32,45,54,37,49,43,31,24,39,35,44,33,43,39
Sanders,151584,67,55,83,66,54,45,61,50,56,67,72,64,55,46,67,57,59
